Dark spectrum
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1401079U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts]
 262.56;  -89.000;  -89.000;    0.000
 262.90;  -81.000;  -81.000;    0.000
 263.24;   20.000;   20.000;    0.000
 263.59;  -46.000;  -46.000;    0.000
 263.93;  -66.000;  -66.000;    0.000
 264.27;  -51.000;  -51.000;    0.000
 264.61;   -6.000;   -6.000;    0.000
 264.96;   39.000;   39.000;    0.000
 265.30;   15.000;   15.000;    0.000
 265.64;  -70.000;  -70.000;    0.000
 265.98;  -43.000;  -43.000;    0.000
 266.33;  -26.000;  -26.000;    0.000
 266.67;   34.000;   34.000;    0.000
 267.01;  -61.000;  -61.000;    0.000
 267.35;  -59.000;  -59.000;    0.000
 267.69;  -32.000;  -32.000;    0.000
 268.04;  -63.000;  -63.000;    0.000
 268.38;   46.000;   46.000;    0.000
 268.72;   40.000;   40.000;    0.000
 269.06;    4.000;    4.000;    0.000
 269.41;   26.000;   26.000;    0.000
 269.75;  -20.000;  -20.000;    0.000
 270.09;  -83.000;  -83.000;    0.000
 270.43;  -67.000;  -67.000;    0.000
 270.77;  -38.000;  -38.000;    0.000
 271.12;    6.000;    6.000;    0.000
 271.46;  -16.000;  -16.000;    0.000
 271.80;  -66.000;  -66.000;    0.000
 272.14;   13.000;   13.000;    0.000
 272.48;   46.000;   46.000;    0.000
 272.83;  -53.000;  -53.000;    0.000
 273.17;  -77.000;  -77.000;    0.000
 273.51;  -33.000;  -33.000;    0.000
 273.85;  -10.000;  -10.000;    0.000
 274.19;   33.000;   33.000;    0.000
 274.54;  -55.000;  -55.000;    0.000
 274.88;    2.000;    2.000;    0.000
 275.22;   65.000;   65.000;    0.000
 275.56;  -33.000;  -33.000;    0.000
 275.90;  -44.000;  -44.000;    0.000
 276.25;  -27.000;  -27.000;    0.000
 276.59;   -2.000;   -2.000;    0.000
 276.93;  -47.000;  -47.000;    0.000
 277.27;   11.000;   11.000;    0.000
 277.61;  -52.000;  -52.000;    0.000
 277.96;  108.000;  108.000;    0.000
 278.30;   55.000;   55.000;    0.000
 278.64;  -88.000;  -88.000;    0.000
 278.98;  -20.000;  -20.000;    0.000
 279.32;   99.000;   99.000;    0.000
 279.67;  -34.000;  -34.000;    0.000
 280.01;   41.000;   41.000;    0.000
 280.35;   48.000;   48.000;    0.000
 280.69;  -15.000;  -15.000;    0.000
 281.03;    4.000;    4.000;    0.000
 281.37;  -46.000;  -46.000;    0.000
 281.72;    3.000;    3.000;    0.000
 282.06;  -43.000;  -43.000;    0.000
 282.40;  -19.000;  -19.000;    0.000
 282.74;  -49.000;  -49.000;    0.000
 283.08;  -53.000;  -53.000;    0.000
 283.43;  105.000;  105.000;    0.000
 283.77;  -31.000;  -31.000;    0.000
 284.11;  -70.000;  -70.000;    0.000
 284.45;  -24.000;  -24.000;    0.000
 284.79;   49.000;   49.000;    0.000
 285.13;    3.000;    3.000;    0.000
 285.48;   90.000;   90.000;    0.000
 285.82;    9.000;    9.000;    0.000
 286.16;  -37.000;  -37.000;    0.000
 286.50;  -43.000;  -43.000;    0.000
 286.84;   -5.000;   -5.000;    0.000
 287.18;  -49.000;  -49.000;    0.000
 287.53;   22.000;   22.000;    0.000
 287.87;   66.000;   66.000;    0.000
 288.21;   52.000;   52.000;    0.000
 288.55;  -52.000;  -52.000;    0.000
 288.89;  -83.000;  -83.000;    0.000
 289.23;    7.000;    7.000;    0.000
 289.58;   86.000;   86.000;    0.000
 289.92;  -42.000;  -42.000;    0.000
 290.26;   23.000;   23.000;    0.000
 290.60;  -53.000;  -53.000;    0.000
 290.94;   15.000;   15.000;    0.000
 291.28;  -37.000;  -37.000;    0.000
 291.63;  -38.000;  -38.000;    0.000
 291.97;  -60.000;  -60.000;    0.000
 292.31;  -17.000;  -17.000;    0.000
 292.65;   56.000;   56.000;    0.000
 292.99;   49.000;   49.000;    0.000
 293.33;  -11.000;  -11.000;    0.000
 293.68;  -17.000;  -17.000;    0.000
 294.02;   98.000;   98.000;    0.000
 294.36;  -47.000;  -47.000;    0.000
 294.70;  -55.000;  -55.000;    0.000
 295.04;    8.000;    8.000;    0.000
 295.38;    8.000;    8.000;    0.000
 295.72;   92.000;   92.000;    0.000
 296.07;  -25.000;  -25.000;    0.000
 296.41;  -36.000;  -36.000;    0.000
 296.75;   26.000;   26.000;    0.000
 297.09;   29.000;   29.000;    0.000
 297.43;  -18.000;  -18.000;    0.000
 297.77;  -33.000;  -33.000;    0.000
 298.11;  -92.000;  -92.000;    0.000
 298.46;   -2.000;   -2.000;    0.000
 298.80;   65.000;   65.000;    0.000
 299.14;  -30.000;  -30.000;    0.000
 299.48;   54.000;   54.000;    0.000
 299.82;   27.000;   27.000;    0.000
 300.16;  -49.000;  -49.000;    0.000
 300.50;  -18.000;  -18.000;    0.000
 300.84;   15.000;   15.000;    0.000
 301.19;    4.000;    4.000;    0.000
 301.53;  -78.000;  -78.000;    0.000
 301.87;  -45.000;  -45.000;    0.000
 302.21;  -49.000;  -49.000;    0.000
 302.55;   61.000;   61.000;    0.000
 302.89;   16.000;   16.000;    0.000
 303.23;  -18.000;  -18.000;    0.000
 303.57;   18.000;   18.000;    0.000
 303.92;   -9.000;   -9.000;    0.000
 304.26;   -1.000;   -1.000;    0.000
 304.60;   77.000;   77.000;    0.000
 304.94;   63.000;   63.000;    0.000
 305.28;    6.000;    6.000;    0.000
 305.62;  -64.000;  -64.000;    0.000
 305.96;  103.000;  103.000;    0.000
 306.30;   -5.000;   -5.000;    0.000
 306.65;   17.000;   17.000;    0.000
 306.99;   45.000;   45.000;    0.000
 307.33;  137.000;  137.000;    0.000
 307.67;    4.000;    4.000;    0.000
 308.01;   35.000;   35.000;    0.000
 308.35;   57.000;   57.000;    0.000
 308.69;   48.000;   48.000;    0.000
 309.03;   97.000;   97.000;    0.000
 309.37;  115.000;  115.000;    0.000
 309.72;   58.000;   58.000;    0.000
 310.06;   56.000;   56.000;    0.000
 310.40;  114.000;  114.000;    0.000
 310.74;  206.000;  206.000;    0.000
 311.08;   46.000;   46.000;    0.000
 311.42;  116.000;  116.000;    0.000
 311.76;  120.000;  120.000;    0.000
 312.10;   64.000;   64.000;    0.000
 312.44;   89.000;   89.000;    0.000
 312.78;   18.000;   18.000;    0.000
 313.13;   40.000;   40.000;    0.000
 313.47;  111.000;  111.000;    0.000
 313.81;  -52.000;  -52.000;    0.000
 314.15;   82.000;   82.000;    0.000
 314.49;  115.000;  115.000;    0.000
 314.83;   73.000;   73.000;    0.000
 315.17;   -4.000;   -4.000;    0.000
 315.51;   17.000;   17.000;    0.000
 315.85;   41.000;   41.000;    0.000
 316.19;   31.000;   31.000;    0.000
 316.54;   71.000;   71.000;    0.000
 316.88;   69.000;   69.000;    0.000
 317.22;   75.000;   75.000;    0.000
 317.56;   70.000;   70.000;    0.000
 317.90;  104.000;  104.000;    0.000
 318.24;  103.000;  103.000;    0.000
 318.58;   55.000;   55.000;    0.000
 318.92;   37.000;   37.000;    0.000
 319.26;   31.000;   31.000;    0.000
 319.60;  -39.000;  -39.000;    0.000
 319.94;   32.000;   32.000;    0.000
 320.28;   25.000;   25.000;    0.000
 320.62;   -3.000;   -3.000;    0.000
 320.97;  149.000;  149.000;    0.000
 321.31;  111.000;  111.000;    0.000
 321.65;  113.000;  113.000;    0.000
 321.99;   65.000;   65.000;    0.000
 322.33;   26.000;   26.000;    0.000
 322.67;   31.000;   31.000;    0.000
 323.01;   73.000;   73.000;    0.000
 323.35;   77.000;   77.000;    0.000
 323.69;   36.000;   36.000;    0.000
 324.03;   23.000;   23.000;    0.000
 324.37;   47.000;   47.000;    0.000
 324.71;   89.000;   89.000;    0.000
 325.05;  118.000;  118.000;    0.000
 325.39;    0.000;    0.000;    0.000
 325.74;   75.000;   75.000;    0.000
 326.08;  128.000;  128.000;    0.000
 326.42;  146.000;  146.000;    0.000
 326.76;  -39.000;  -39.000;    0.000
 327.10;   -3.000;   -3.000;    0.000
 327.44;    4.000;    4.000;    0.000
 327.78;  125.000;  125.000;    0.000
 328.12;  113.000;  113.000;    0.000
 328.46;   86.000;   86.000;    0.000
 328.80;  203.000;  203.000;    0.000
 329.14;  103.000;  103.000;    0.000
 329.48;  137.000;  137.000;    0.000
 329.82;  238.000;  238.000;    0.000
 330.16;  135.000;  135.000;    0.000
 330.50;  103.000;  103.000;    0.000
 330.84;   82.000;   82.000;    0.000
 331.18;   88.000;   88.000;    0.000
 331.52;  111.000;  111.000;    0.000
 331.87;  -19.000;  -19.000;    0.000
 332.21;    4.000;    4.000;    0.000
 332.55;   34.000;   34.000;    0.000
 332.89;    2.000;    2.000;    0.000
 333.23;  113.000;  113.000;    0.000
 333.57;   11.000;   11.000;    0.000
 333.91;  153.000;  153.000;    0.000
 334.25;  143.000;  143.000;    0.000
 334.59;   66.000;   66.000;    0.000
 334.93;   -9.000;   -9.000;    0.000
 335.27;  123.000;  123.000;    0.000
 335.61;   37.000;   37.000;    0.000
 335.95;  241.000;  241.000;    0.000
 336.29;  111.000;  111.000;    0.000
 336.63;   93.000;   93.000;    0.000
 336.97;   46.000;   46.000;    0.000
 337.31;  -14.000;  -14.000;    0.000
 337.65;  117.000;  117.000;    0.000
 337.99;   57.000;   57.000;    0.000
 338.33;   65.000;   65.000;    0.000
 338.67;  140.000;  140.000;    0.000
 339.01;  109.000;  109.000;    0.000
 339.35;   24.000;   24.000;    0.000
 339.69;   53.000;   53.000;    0.000
 340.03;  138.000;  138.000;    0.000
 340.37;   50.000;   50.000;    0.000
 340.71;   18.000;   18.000;    0.000
 341.05;  132.000;  132.000;    0.000
 341.39;   92.000;   92.000;    0.000
 341.73;   95.000;   95.000;    0.000
 342.07;   62.000;   62.000;    0.000
 342.41;    7.000;    7.000;    0.000
 342.75;   63.000;   63.000;    0.000
 343.09;  110.000;  110.000;    0.000
 343.43;  117.000;  117.000;    0.000
 343.78;   77.000;   77.000;    0.000
 344.12;   19.000;   19.000;    0.000
 344.46;   10.000;   10.000;    0.000
 344.80;   18.000;   18.000;    0.000
 345.14;    1.000;    1.000;    0.000
 345.48;  104.000;  104.000;    0.000
